Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Status Category,Status Category Changed
[QA-015] Execute Security and Negative Input Tests for Upload and Auth,QA-015,,Task,In Progress,ATC,AI Teacher Copilot,software,,,,Medium,,,,,,,,,,,,,0,"Role: QA Engineer
Master Task: ATC-208
Sprint: Sprint 2 - Auth & Ingestion
Priority: Medium
Dependencies: is blocked by ATC-203, ATC-207
Deliverable: Negative Testing Report

Description:
Kiểm thử các kịch bản tiêu cực: upload file độc hại, file rỗng, sai token, truy cập trái phép.

Acceptance Criteria:
Hệ thống từ chối an toàn và trả về mã lỗi HTTP chuẩn mực (400, 401, 403, 415).",,,,,,,,,,,,,,,Sprint 2 - Auth & Ingestion,,,Quality Assurance,,In Progress,
[BE-013] Implement AI Provider Abstraction Interface and Factory,BE-013,,Task,In Progress,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Backend Engineer
Master Task: ATC-301
Sprint: Sprint 3 - RAG & Lesson
Priority: High
Dependencies: is blocked by ATC-207
Deliverable: providers/base.py & factory.py

Description:
Xây dựng lớp trừu tượng BaseAIProvider định nghĩa các phương thức generate và embed.

Acceptance Criteria:
Loại bỏ import cứng SDK trong route handlers; khởi tạo provider qua ProviderFactory.",,,,,,,,,,,,,,,Sprint 3 - RAG & Lesson,,,Backend,,In Progress,
[BE-014] Implement Gemini and OpenAI LLM Provider Adapters,BE-014,,Task,In Progress,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Backend Engineer
Master Task: ATC-301
Sprint: Sprint 3 - RAG & Lesson
Priority: High
Dependencies: is blocked by ATC-207
Deliverable: providers/gemini.py & openai.py

Description:
Cài đặt cụ thể GeminiProvider và OpenAIProvider tuân thủ BaseAIProvider interface.

Acceptance Criteria:
Hỗ trợ chuyển đổi qua biến môi trường AI_PROVIDER mà không cần sửa code nghiệp vụ.",,,,,,,,,,,,,,,Sprint 3 - RAG & Lesson,,,Backend,,In Progress,
[QA-016] Test AI Provider Dynamic Switching and API Error Fallback,QA-016,,Task,In Progress,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: QA Engineer
Master Task: ATC-301
Sprint: Sprint 3 - RAG & Lesson
Priority: High
Dependencies: is blocked by ATC-207
Deliverable: Provider Test Report

Description:
Kiểm thử chuyển đổi linh hoạt giữa Gemini và OpenAI; xử lý timeout và rate limit.

Acceptance Criteria:
Hệ thống tự động bắt lỗi API provider và trả về mã lỗi nội bộ thích hợp.",,,,,,,,,,,,,,,Sprint 3 - RAG & Lesson,,,Quality Assurance,,In Progress,
[BE-015] Implement Vector Similarity Search with Workspace Isolation,BE-015,,Task,In Progress,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Backend Engineer
Master Task: ATC-302
Sprint: Sprint 3 - RAG & Lesson
Priority: High
Dependencies: is blocked by ATC-301
Deliverable: retrieval/service.py in ai-service

Description:
Xây dựng hàm truy vấn vector trong retrieval_service với khoảng cách Cosine và bộ lọc workspace_id.

Acceptance Criteria:
Trả về Top-K (5-8) chunks phù hợp nhất; bắt buộc lọc workspace_id ở mức câu lệnh SQL.",,,,,,,,,,,,,,,Sprint 3 - RAG & Lesson,,,Backend,,In Progress,
[QA-017] Test Top-K Vector Retrieval and Workspace Data Isolation,QA-017,,Task,In Progress,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: QA Engineer
Master Task: ATC-302
Sprint: Sprint 3 - RAG & Lesson
Priority: High
Dependencies: is blocked by ATC-301
Deliverable: Retrieval Isolation Test Report

Description:
Kiểm thử truy vấn vector bảo đảm không rò rỉ dữ liệu chunk giữa các workspace khác nhau.

Acceptance Criteria:
Truy vấn từ Workspace A không bao giờ trả về chunk thuộc Workspace B.",,,,,,,,,,,,,,,Sprint 3 - RAG & Lesson,,,Quality Assurance,,In Progress,
[BE-016] Implement Sources Boundary Wrapper for Retrieved Context,BE-016,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Backend Engineer
Master Task: ATC-303
Sprint: Sprint 3 - RAG & Lesson
Priority: High
Dependencies: is blocked by ATC-302
Deliverable: prompt_builder.py in ai-service

Description:
Bọc toàn bộ nội dung chunk trích xuất vào thẻ <sources>...</sources> và chỉ thị Untrusted Data.

Acceptance Criteria:
Tài liệu nguồn được coi là dữ liệu tham khảo thuần túy; ngăn chặn ghi đè system prompt.",,,,,,,,,,,,,,,Sprint 3 - RAG & Lesson,,,Backend,,To Do,
[BE-017] Implement Insufficient Evidence Detection and Handling,BE-017,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Backend Engineer
Master Task: ATC-303
Sprint: Sprint 3 - RAG & Lesson
Priority: High
Dependencies: is blocked by ATC-302
Deliverable: evidence_validator.py

Description:
Kiểm tra điểm tương đồng; nếu không có chunk nào đạt ngưỡng trả về lỗi INSUFFICIENT_EVIDENCE.

Acceptance Criteria:
Trả về mã HTTP 422 với mã lỗi INSUFFICIENT_EVIDENCE thay vì để LLM bịa đặt nội dung.",,,,,,,,,,,,,,,Sprint 3 - RAG & Lesson,,,Backend,,To Do,
[QA-018] Test Prompt Injection Defense and Insufficient Evidence Rejection,QA-018,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: QA Engineer
Master Task: ATC-303
Sprint: Sprint 3 - RAG & Lesson
Priority: High
Dependencies: is blocked by ATC-302
Deliverable: Prompt Security Test Report

Description:
Thực hiện kiểm thử tiêm prompt (Prompt Injection) và truy vấn kiến thức không có trong tài liệu.

Acceptance Criteria:
Hệ thống từ chối tạo nội dung ảo giác khi thiếu tài liệu nguồn.",,,,,,,,,,,,,,,Sprint 3 - RAG & Lesson,,,Quality Assurance,,To Do,
[DES-006] Design Lesson Planner Input Form and Output View in Figma,DES-006,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Designer
Master Task: ATC-304
Sprint: Sprint 3 - RAG & Lesson
Priority: High
Dependencies: is blocked by ATC-303
Deliverable: Figma Lesson Planner Screens

Description:
Thiết kế form nhập yêu cầu bài giảng (chủ đề, khối lớp, thời lượng) và giao diện xem giáo án.

Acceptance Criteria:
Bản vẽ Figma hoàn chỉnh cho cấu trúc giáo án 4 phần: Mục tiêu, Chuẩn bị, Hoạt động, Đánh giá.",,,,,,,,,,,,,,,Sprint 3 - RAG & Lesson,,,Design,,To Do,
[FE-010] Implement Lesson Planner Generation Form and Viewer,FE-010,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Frontend Engineer
Master Task: ATC-304
Sprint: Sprint 3 - RAG & Lesson
Priority: High
Dependencies: is blocked by ATC-303
Deliverable: LessonPlanViewer.jsx

Description:
Xây dựng LessonPlanGeneratorForm và LessonPlanViewer hiển thị giáo án theo tab/timeline.

Acceptance Criteria:
Form gửi yêu cầu sinh giáo án, hiển thị animation loading và render cấu trúc bài giảng trực quan.",,,,,,,,,,,,,,,Sprint 3 - RAG & Lesson,,,Frontend,,To Do,
[BE-018] Implement Structured Lesson Plan Generation Pipeline,BE-018,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Backend Engineer
Master Task: ATC-304
Sprint: Sprint 3 - RAG & Lesson
Priority: High
Dependencies: is blocked by ATC-303
Deliverable: lesson_planner.py in ai-service

Description:
Xây dựng pipeline sinh giáo án bằng Gemini/OpenAI ép cấu trúc qua schema LessonPlanSchema.

Acceptance Criteria:
Output trả về khớp 100% với Pydantic schema; giữ lại mảng source_chunk_ids.",,,,,,,,,,,,,,,Sprint 3 - RAG & Lesson,,,Backend,,To Do,
[BE-019] Implement Lesson Plan Persistence in Generated Contents Repository,BE-019,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Backend Engineer
Master Task: ATC-304
Sprint: Sprint 3 - RAG & Lesson
Priority: High
Dependencies: is blocked by ATC-303
Deliverable: GenerationService.java in backend

Description:
Nhận kết quả từ FastAPI và lưu bản ghi vào bảng generated_contents với review_status='DRAFT'.

Acceptance Criteria:
Giáo án được lưu với content_type='LESSON_PLAN', version=1 và liên kết đúng workspace.",,,,,,,,,,,,,,,Sprint 3 - RAG & Lesson,,,Backend,,To Do,
[QA-019] Test Lesson Plan JSON Schema and Source Citation Traceability,QA-019,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: QA Engineer
Master Task: ATC-304
Sprint: Sprint 3 - RAG & Lesson
Priority: High
Dependencies: is blocked by ATC-303
Deliverable: Lesson Plan Schema Test Report

Description:
Kiểm thử tự động tính hợp lệ của JSON giáo án và liên kết trích dẫn nguồn chunk.

Acceptance Criteria:
Schema không bị thiếu trường; mảng source_chunk_ids tồn tại trong database.",,,,,,,,,,,,,,,Sprint 3 - RAG & Lesson,,,Quality Assurance,,To Do,
"[DES-007] Design Citation Badges, Tooltips and Source Drawer in Figma",DES-007,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Designer
Master Task: ATC-305
Sprint: Sprint 3 - RAG & Lesson
Priority: High
Dependencies: is blocked by ATC-304
Deliverable: Figma Citation Components

Description:
Thiết kế badge trích dẫn [1], tooltip hiển thị tên sách/trang và drawer xem đoạn gốc.

Acceptance Criteria:
Bản vẽ Figma chi tiết cho Citation Badge, Citation Tooltip và Source Drawer.",,,,,,,,,,,,,,,Sprint 3 - RAG & Lesson,,,Design,,To Do,
[FE-011] Implement Citation Badges and Source Chunk Drawer,FE-011,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Frontend Engineer
Master Task: ATC-305
Sprint: Sprint 3 - RAG & Lesson
Priority: High
Dependencies: is blocked by ATC-304
Deliverable: CitationBadge.jsx & SourceDrawer.jsx

Description:
Gắn badge trích dẫn tương tác vào nội dung bài giảng; mở drawer xem đoạn văn bản gốc khi click.

Acceptance Criteria:
Click vào badge hiển thị chính xác tên tài liệu, trang số và đoạn trích dẫn nguồn.",,,,,,,,,,,,,,,Sprint 3 - RAG & Lesson,,,Frontend,,To Do,
[BE-020] Implement Citation Resolution and Provenance API,BE-020,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Backend Engineer
Master Task: ATC-305
Sprint: Sprint 3 - RAG & Lesson
Priority: High
Dependencies: is blocked by ATC-304
Deliverable: CitationController.java & CitationService.java

Description:
Tạo endpoint GET /api/workspaces/{id}/citations/resolve và lưu bản ghi vào content_citations.

Acceptance Criteria:
Truy vấn trả về đầy đủ metadata nguồn gốc từ bảng document_chunks.",,,,,,,,,,,,,,,Sprint 3 - RAG & Lesson,,,Backend,,To Do,
[QA-020] Test Citation Provenance Resolution to Document Page and Chunk,QA-020,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: QA Engineer
Master Task: ATC-305
Sprint: Sprint 3 - RAG & Lesson
Priority: High
Dependencies: is blocked by ATC-304
Deliverable: Citation Traceability Test Report

Description:
Kiểm thử đối chiếu dữ liệu trích dẫn từ giao diện ngược về trang PDF/DOCX gốc.

Acceptance Criteria:
100% trích dẫn trỏ đúng tài liệu và vị trí trang đã tải lên.",,,,,,,,,,,,,,,Sprint 3 - RAG & Lesson,,,Quality Assurance,,To Do,
[DES-008] Design Lesson Plan Inline Editor and Review Status in Figma,DES-008,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Designer
Master Task: ATC-306
Sprint: Sprint 3 - RAG & Lesson
Priority: High
Dependencies: is blocked by ATC-304
Deliverable: Figma Inline Review Screen

Description:
Thiết kế chế độ chỉnh sửa trực tiếp trên từng phần giáo án và nút đổi trạng thái phê duyệt.

Acceptance Criteria:
Bản vẽ Figma cho Inline Editor, nút Save Draft và chuyển đổi DRAFT -> APPROVED.",,,,,,,,,,,,,,,Sprint 3 - RAG & Lesson,,,Design,,To Do,
[FE-012] Implement Inline Lesson Plan Editor with Auto-Save,FE-012,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Frontend Engineer
Master Task: ATC-306
Sprint: Sprint 3 - RAG & Lesson
Priority: High
Dependencies: is blocked by ATC-304
Deliverable: InlineLessonEditor.jsx

Description:
Cho phép giáo viên sửa tiêu đề, mục tiêu, nội dung hoạt động và chọn trạng thái phê duyệt.

Acceptance Criteria:
Giáo viên sửa trực tiếp trên UI; có nút Lưu thay đổi và thông báo toast thành công.",,,,,,,,,,,,,,,Sprint 3 - RAG & Lesson,,,Frontend,,To Do,
[BE-021] Implement Lesson Content Update and Review Status API,BE-021,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Backend Engineer
Master Task: ATC-306
Sprint: Sprint 3 - RAG & Lesson
Priority: High
Dependencies: is blocked by ATC-304
Deliverable: GenerationController.java

Description:
Tạo endpoint PUT /api/workspaces/{id}/generation/{id} cập nhật content_data và review_status.

Acceptance Criteria:
Cập nhật thành công nội dung bài giảng và chuyển trạng thái DRAFT -> REVIEWED -> APPROVED.",,,,,,,,,,,,,,,Sprint 3 - RAG & Lesson,,,Backend,,To Do,
[QA-021] Test Inline Content Editing and Review Status Transitions,QA-021,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: QA Engineer
Master Task: ATC-306
Sprint: Sprint 3 - RAG & Lesson
Priority: High
Dependencies: is blocked by ATC-304
Deliverable: Review Edit Test Report

Description:
Kiểm thử lưu nội dung chỉnh sửa, cập nhật trạng thái và bảo đảm dữ liệu JSON không bị vỡ.

Acceptance Criteria:
Dữ liệu chỉnh sửa được lưu chính xác vào DB mà không làm hỏng cấu trúc schema.",,,,,,,,,,,,,,,Sprint 3 - RAG & Lesson,,,Quality Assurance,,To Do,
[DES-009] Design Document Export Modal and Layout Options in Figma,DES-009,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Designer
Master Task: ATC-307
Sprint: Sprint 3 - RAG & Lesson
Priority: High
Dependencies: is blocked by ATC-306
Deliverable: Figma Export Modal

Description:
Thiết kế modal tùy chọn định dạng xuất file (Word, PDF) và template văn bản mẫu.

Acceptance Criteria:
Bản vẽ Figma cho Export Modal và mẫu trình bày giáo án chuẩn trường học.",,,,,,,,,,,,,,,Sprint 3 - RAG & Lesson,,,Design,,To Do,
[FE-013] Implement Document Export Modal and Download Flow,FE-013,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Frontend Engineer
Master Task: ATC-307
Sprint: Sprint 3 - RAG & Lesson
Priority: High
Dependencies: is blocked by ATC-306
Deliverable: ExportModal.jsx

Description:
Xây dựng ExportModal kích hoạt API tải file blob và lưu file về máy người dùng.

Acceptance Criteria:
Người dùng chọn định dạng DOCX hoặc PDF và tải file về máy thành công.",,,,,,,,,,,,,,,Sprint 3 - RAG & Lesson,,,Frontend,,To Do,
[BE-022] Implement DOCX Lesson Export with Citation Footnotes,BE-022,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Backend Engineer
Master Task: ATC-307
Sprint: Sprint 3 - RAG & Lesson
Priority: High
Dependencies: is blocked by ATC-306
Deliverable: DocxExportService.java

Description:
Sử dụng Apache POI để sinh file Word chuẩn định dạng giáo án kèm danh mục trích dẫn cuối trang.

Acceptance Criteria:
Tạo file .docx với font chữ, bảng biểu chuẩn và danh mục tài liệu tham khảo.",,,,,,,,,,,,,,,Sprint 3 - RAG & Lesson,,,Backend,,To Do,
[BE-023] Implement PDF Lesson Export with Pedagogical Formatting,BE-023,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Backend Engineer
Master Task: ATC-307
Sprint: Sprint 3 - RAG & Lesson
Priority: High
Dependencies: is blocked by ATC-306
Deliverable: PdfExportService.java

Description:
Sử dụng iText/OpenPDF để render giáo án thành file PDF chuyên nghiệp.

Acceptance Criteria:
Tạo file .pdf chuẩn trang in A4, có header/footer và đánh số trang.",,,,,,,,,,,,,,,Sprint 3 - RAG & Lesson,,,Backend,,To Do,
[QA-022] Test DOCX and PDF Lesson Export Formatting and Citations,QA-022,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: QA Engineer
Master Task: ATC-307
Sprint: Sprint 3 - RAG & Lesson
Priority: High
Dependencies: is blocked by ATC-306
Deliverable: Export Quality Test Report

Description:
Kiểm thử tải và mở file DOCX/PDF trên Microsoft Word và Adobe Acrobat.

Acceptance Criteria:
File mở không bị lỗi format; bảng biểu và trích dẫn hiển thị rõ ràng.",,,,,,,,,,,,,,,Sprint 3 - RAG & Lesson,,,Quality Assurance,,To Do,
[DES-010] Design Quiz Generator Form and Preview Interface in Figma,DES-010,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Designer
Master Task: ATC-401
Sprint: Sprint 4 - Quiz & Versioning
Priority: High
Dependencies: is blocked by ATC-303, ATC-304
Deliverable: Figma Quiz Screens

Description:
Thiết kế form tạo đề thi (số lượng câu, trắc nghiệm, tự luận) và giao diện xem danh sách câu hỏi.

Acceptance Criteria:
Bản vẽ Figma cho Quiz Generator, Question Card và hiển thị đáp án đúng/sai.",,,,,,,,,,,,,,,Sprint 4 - Quiz & Versioning,,,Design,,To Do,
[FE-014] Implement Quiz Generator Form and Question List Viewer,FE-014,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Frontend Engineer
Master Task: ATC-401
Sprint: Sprint 4 - Quiz & Versioning
Priority: High
Dependencies: is blocked by ATC-303, ATC-304
Deliverable: QuizQuestionViewer.jsx

Description:
Xây dựng QuizGeneratorForm và QuizQuestionViewer với tùy chọn ẩn/hiện đáp án.

Acceptance Criteria:
Hiển thị đầy đủ danh sách câu hỏi trắc nghiệm (4 phương án) và câu hỏi tự luận.",,,,,,,,,,,,,,,Sprint 4 - Quiz & Versioning,,,Frontend,,To Do,
[BE-024] Implement Structured MCQ and Short Answer Quiz Generation,BE-024,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Backend Engineer
Master Task: ATC-401
Sprint: Sprint 4 - Quiz & Versioning
Priority: High
Dependencies: is blocked by ATC-303, ATC-304
Deliverable: quiz_generator.py in ai-service

Description:
Xây dựng pipeline sinh đề thi bằng LLM với Pydantic schema QuizSchema.

Acceptance Criteria:
Sinh đúng số lượng câu hỏi yêu cầu; câu trắc nghiệm có đủ 4 lựa chọn A, B, C, D.",,,,,,,,,,,,,,,Sprint 4 - Quiz & Versioning,,,Backend,,To Do,
[BE-025] Implement Quiz Content Persistence in Generated Contents Repository,BE-025,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Backend Engineer
Master Task: ATC-401
Sprint: Sprint 4 - Quiz & Versioning
Priority: High
Dependencies: is blocked by ATC-303, ATC-304
Deliverable: QuizService.java in backend

Description:
Lưu đề thi vào bảng generated_contents với content_type='QUIZ'.

Acceptance Criteria:
Đề thi được lưu vào CSDL kèm metadata câu hỏi và mảng source_chunk_ids.",,,,,,,,,,,,,,,Sprint 4 - Quiz & Versioning,,,Backend,,To Do,
"[QA-023] Test Quiz Question Completeness, Options and Answer Keys",QA-023,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: QA Engineer
Master Task: ATC-401
Sprint: Sprint 4 - Quiz & Versioning
Priority: High
Dependencies: is blocked by ATC-303, ATC-304
Deliverable: Quiz Generation Test Report

Description:
Kiểm thử sinh đề thi với các mức số lượng câu hỏi (3 - 20 câu) và kiểm tra tính duy nhất của đáp án.

Acceptance Criteria:
100% câu hỏi trắc nghiệm có đúng 1 đáp án chính xác và lời giải thích hợp lý.",,,,,,,,,,,,,,,Sprint 4 - Quiz & Versioning,,,Quality Assurance,,To Do,
[DES-011] Design Bloom Taxonomy Level Badges and Distribution in Figma,DES-011,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Designer
Master Task: ATC-402
Sprint: Sprint 4 - Quiz & Versioning
Priority: High
Dependencies: is blocked by ATC-401
Deliverable: Figma Bloom Badges

Description:
Thiết kế hệ thống badge màu sắc cho 6 cấp độ Bloom (Nhận biết đến Sáng tạo) và biểu đồ phân bổ.

Acceptance Criteria:
Bản vẽ Figma cho 6 Bloom Badges và widget thống kê ma trận nhận thức.",,,,,,,,,,,,,,,Sprint 4 - Quiz & Versioning,,,Design,,To Do,
[FE-015] Implement Bloom's Taxonomy Filter and Level Badges,FE-015,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Frontend Engineer
Master Task: ATC-402
Sprint: Sprint 4 - Quiz & Versioning
Priority: High
Dependencies: is blocked by ATC-401
Deliverable: BloomBadge.jsx & BloomFilter.jsx

Description:
Gắn badge cấp độ Bloom vào từng câu hỏi và thêm bộ lọc câu hỏi theo thang Bloom.

Acceptance Criteria:
Giáo viên lọc được câu hỏi theo cấp độ nhận thức; xem tỷ lệ phân bổ ma trận đề.",,,,,,,,,,,,,,,Sprint 4 - Quiz & Versioning,,,Frontend,,To Do,
[BE-026] Implement Automated Bloom's Taxonomy Question Classification,BE-026,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Backend Engineer
Master Task: ATC-402
Sprint: Sprint 4 - Quiz & Versioning
Priority: High
Dependencies: is blocked by ATC-401
Deliverable: bloom_classifier.py

Description:
Tích hợp chỉ thị phân loại cấp độ Bloom trực tiếp vào prompt sinh câu hỏi.

Acceptance Criteria:
Mỗi câu hỏi có trường bloom_taxonomy_level hợp lệ (REMEMBER, UNDERSTAND, APPLY, ANALYZE, EVALUATE, CREATE).",,,,,,,,,,,,,,,Sprint 4 - Quiz & Versioning,,,Backend,,To Do,
[QA-024] Test Bloom's Taxonomy Question Tagging and Filtering,QA-024,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: QA Engineer
Master Task: ATC-402
Sprint: Sprint 4 - Quiz & Versioning
Priority: High
Dependencies: is blocked by ATC-401
Deliverable: Bloom Tagging Test Report

Description:
Kiểm thử tính chính xác của việc gắn nhãn cấp độ Bloom trên tập câu hỏi mẫu.

Acceptance Criteria:
Nhãn Bloom phản ánh đúng độ khó của câu hỏi; bộ lọc UI hoạt động chính xác.",,,,,,,,,,,,,,,Sprint 4 - Quiz & Versioning,,,Quality Assurance,,To Do,
[DES-012] Design Regeneration Prompt Modal and Version Diff in Figma,DES-012,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Designer
Master Task: ATC-403
Sprint: Sprint 4 - Quiz & Versioning
Priority: High
Dependencies: is blocked by ATC-401, ATC-306
Deliverable: Figma Regeneration Screens

Description:
Thiết kế modal nhập chỉ dẫn sinh lại (Regenerate) và giao diện so sánh 2 phiên bản.

Acceptance Criteria:
Bản vẽ Figma cho Regeneration Modal và Diff Viewer so sánh bài soạn.",,,,,,,,,,,,,,,Sprint 4 - Quiz & Versioning,,,Design,,To Do,
[FE-016] Implement Instruction-Based Regeneration Dialog and Version Selector,FE-016,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Frontend Engineer
Master Task: ATC-403
Sprint: Sprint 4 - Quiz & Versioning
Priority: High
Dependencies: is blocked by ATC-401, ATC-306
Deliverable: RegenerationModal.jsx

Description:
Xây dựng RegenerationModal cho phép giáo viên nhập prompt điều chỉnh và chọn phiên bản xem.

Acceptance Criteria:
Gửi yêu cầu sinh lại kèm parent_id; hiển thị phiên bản mới mà không mất bản cũ.",,,,,,,,,,,,,,,Sprint 4 - Quiz & Versioning,,,Frontend,,To Do,
[BE-027] Implement Content Regeneration API with Version Lineage,BE-027,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Backend Engineer
Master Task: ATC-403
Sprint: Sprint 4 - Quiz & Versioning
Priority: High
Dependencies: is blocked by ATC-401, ATC-306
Deliverable: RegenerationService.java

Description:
Tạo endpoint POST /api/workspaces/{id}/generation/{id}/regenerate tạo bản ghi mới với version = parent.version + 1.

Acceptance Criteria:
Bản ghi mới có version tăng dần, parent_id trỏ về bản cũ; dữ liệu cũ được bảo toàn.",,,,,,,,,,,,,,,Sprint 4 - Quiz & Versioning,,,Backend,,To Do,
[QA-025] Test Content Regeneration Version Increment and Lineage,QA-025,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: QA Engineer
Master Task: ATC-403
Sprint: Sprint 4 - Quiz & Versioning
Priority: High
Dependencies: is blocked by ATC-401, ATC-306
Deliverable: Versioning Test Report

Description:
Kiểm thử sinh lại nhiều lần (v1 -> v2 -> v3) và xác minh tính toàn vẹn của cây phả hệ phiên bản.

Acceptance Criteria:
Bản ghi cũ không bị ghi đè; liên kết parent_id chính xác 100%.",,,,,,,,,,,,,,,Sprint 4 - Quiz & Versioning,,,Quality Assurance,,To Do,
[DES-013] Design Generation History Timeline and Version Tree in Figma,DES-013,,Task,To Do,ATC,AI Teacher Copilot,software,,,,Medium,,,,,,,,,,,,,0,"Role: Designer
Master Task: ATC-404
Sprint: Sprint 4 - Quiz & Versioning
Priority: Medium
Dependencies: is blocked by ATC-403
Deliverable: Figma History Screens

Description:
Thiết kế trang danh sách lịch sử bài soạn và sơ đồ cây phiên bản trực quan.

Acceptance Criteria:
Bản vẽ Figma cho History List Page, Version Timeline và Revert Action.",,,,,,,,,,,,,,,Sprint 4 - Quiz & Versioning,,,Design,,To Do,
[FE-017] Implement Generation History List and Version Lineage Tree,FE-017,,Task,To Do,ATC,AI Teacher Copilot,software,,,,Medium,,,,,,,,,,,,,0,"Role: Frontend Engineer
Master Task: ATC-404
Sprint: Sprint 4 - Quiz & Versioning
Priority: Medium
Dependencies: is blocked by ATC-403
Deliverable: HistoryListPage.jsx & VersionTimeline.jsx

Description:
Xây dựng HistoryListPage và VersionTimeline hiển thị lịch sử bài soạn theo thời gian.

Acceptance Criteria:
Giáo viên xem được toàn bộ các bài soạn trong workspace và mở lại phiên bản cũ.",,,,,,,,,,,,,,,Sprint 4 - Quiz & Versioning,,,Frontend,,To Do,
[BE-028] Implement Generation History and Version Tree API,BE-028,,Task,To Do,ATC,AI Teacher Copilot,software,,,,Medium,,,,,,,,,,,,,0,"Role: Backend Engineer
Master Task: ATC-404
Sprint: Sprint 4 - Quiz & Versioning
Priority: Medium
Dependencies: is blocked by ATC-403
Deliverable: HistoryController.java

Description:
Tạo endpoint GET /api/workspaces/{id}/generation/history và GET /api/workspaces/{id}/generation/{id}/lineage.

Acceptance Criteria:
Trả về danh sách bài soạn kèm thông tin phiên bản và chuỗi phả hệ version.",,,,,,,,,,,,,,,Sprint 4 - Quiz & Versioning,,,Backend,,To Do,
